storefrontId,displayName,city,state,phone,impressions,opens,directions,phoneTaps,websiteTaps,menuTaps,reviewsStarted,reviewsSubmitted,uniqueDevicesEngaged,uniqueDevicesOpened,uniqueDevicesDirections,uniqueDevicesPhoneTap,firstSeen,lastSeen
ocm-14590-wolcott-the-coughie-shop,"The Coughie Shop",Wolcott,NY,(315) 401-5517,1001,220,169,3,0,0,44,1,69,39,13,2,2026-03-30,2026-05-03
ocm-13143-red-creek-victory-road-farm,"Victory Road Farm",Red Creek,NY,(315) 256-0999,998,64,18,1,0,0,8,1,66,18,7,1,2026-03-30,2026-05-03
ocm-14513-newark-haze-and-harvest,"Haze and Harvest",Newark,NY,(315) 332-8189,998,59,13,0,1,0,13,2,66,21,4,0,2026-03-30,2026-05-03
ocm-13069-fulton-leafy-wonders-llc,"Leafy Wonders LLC",Fulton,NY,(315) 887-1900,365,17,5,0,1,0,2,1,53,8,1,0,2026-03-31,2026-05-03
ocm-13126-oswego-flynnstoned-oswego,"FlynnStoned Oswego",Oswego,NY,(315) 207-2420,328,4,6,0,1,0,0,0,50,4,5,0,2026-03-31,2026-05-03
ocm-13021-auburn-wild-flower-dispensary,"Wild Flower Dispensary",Auburn,NY,(315) 730-4483,325,4,0,0,0,0,0,0,50,4,0,0,2026-03-31,2026-05-03
ocm-13021-auburn-48-genesee-st-dispensary,"48 Genesee St Dispensary",Auburn,NY,(315) 515-3636,326,2,0,0,0,0,0,0,50,2,0,0,2026-03-31,2026-05-03
ocm-14456-geneva-twisted-cannabis-flx,"Twisted Cannabis FLX",Geneva,NY,(315) 325-2241,119,13,1,0,2,0,1,1,30,7,1,0,2026-03-31,2026-05-03
ocm-14502-macedon-native-haze-cannabis-co,"Native Haze Cannabis Co",Macedon,NY,(877) 420-4293,87,1,1,0,0,0,0,0,30,1,1,0,2026-03-31,2026-05-03
ocm-14456-geneva-high-points-dispensary,"High Points Dispensary",Geneva,NY,(585) 905-1141,70,1,0,0,0,0,0,0,26,1,0,0,2026-03-31,2026-05-03
ocm-13041-clay-raven-dispensaries-llc-dba-raven-s-joint,"Raven Dispensaries LLC (dba Raven's Joint)",Clay,NY,(315) 409-4600,64,1,1,0,1,0,0,0,21,1,1,0,2026-03-31,2026-05-03
ocm-13090-liverpool-tj-s-cannabis-corp,"TJ's Cannabis Corp.",Liverpool,NY,(315) 314-6776,61,3,1,0,0,0,0,0,20,2,1,0,2026-03-31,2026-05-03
